Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Cadillac,Escalade, 2007,Алматы,внедорожник,6.2 (газ-бензин),,автомат,слева,черный,задний привод,Да,8 000 000 ₸,8 231 000,,,,
Toyota,Camry, 2002,Алматы,седан,3 (бензин),329 914 км,автомат,слева,белый,передний привод,Да,4 600 000 ₸,4 082 000,,,,
Mercedes-Benz,S 320, 1997,Нур-Султан (Астана),седан,3.2 (бензин),,автомат,слева,черный,задний привод,Да,3 600 000 ₸,3 521 000,,,,
ВАЗ (Lada),2172 (хэтчбек), 2010,Уральск,хэтчбек,1.6 (бензин),140 км,механика,слева,зеленый,передний привод,Нет,1 450 000 ₸,1 518 000,,,,
Mercedes-Benz,C 280, 1993,Талдыкорган,седан,2.8 (бензин),414 000 км,автомат,слева,синий металлик,задний привод,Да,2 200 000 ₸,1 645 000,,,,
Kia,Sorento, 2019,Нур-Султан (Астана),кроссовер,2.4 (бензин),22 500 км,автомат,слева,серебристый металлик,полный привод,Да,13 500 000 ₸,14 688 000,,,,
ВАЗ (Lada),2170 (седан), 2008,Нур-Султан (Астана),седан,1.6 (бензин),414 240 км,механика,слева,синий металлик,передний привод,Нет,900 000 ₸,1 367 000,,,,
ГАЗ,ГАЗель, 2007,Уральск,фургон,2.4 (бензин),,механика,слева,вишня,задний привод,Нет,2 900 000 ₸,3 364 000,,,,
ГАЗ,ГАЗель, 2012,Уральск,фургон,2.9 (газ-бензин),108 000 км,механика,слева,белый,задний привод,Нет,4 600 000 ₸,4 725 000,,,,
Kia,Cerato, 2019,Шымкент,седан,1.6 (бензин),9 000 км,автомат,слева,белый металлик,передний привод,Да,9 500 000 ₸,8 479 000,,,,
JAC,S3, 2018,Кызылорда,кроссовер,1.5 (бензин),70 000 км,механика,слева,белый,передний привод,Да,3 950 000 ₸,4 267 000,,,,
Toyota,Land Cruiser, 1996,Алматы,внедорожник,4.5 (газ-бензин),,механика,слева,белый,полный привод,Да,6 500 000 ₸,3 730 000,,,,
Ford,Transit, 2009,Актобе,фургон,2.2 (дизель),,механика,слева,синий,передний привод,Да,5 900 000 ₸,4 986 000,,,,
ВАЗ (Lada),2171 (универсал), 2013,Атырау,универсал,1.6 (бензин),171 300 км,механика,слева,белый,передний привод,Да,1 650 000 ₸,1 954 000,,,,
Hyundai,Sonata, 2003,Караганда,седан,2 (бензин),,механика,слева,,передний привод,Да,1 600 000 ₸,1 756 000,,,,
Ravon,Nexia R3, 2017,Шымкент,седан,1.5 (бензин),60 км,автомат,слева,коричневый металлик,передний привод,Да,3 850 000 ₸,3 619 000,,,,
ВАЗ (Lada),2171 (универсал), 2012,Жезказган,универсал,1.6 (бензин),111 111 км,механика,слева,черный металлик,передний привод,Да,2 200 000 ₸,1 859 000,,,,
Audi,100, 1991,Карабалык (Карабалыкский р-н),седан,2 (бензин),,механика,слева,серебристый металлик,передний привод,Да,1 300 000 ₸,1 530 000,,,,
Mercedes-Benz,190, 1991,Кокшетау,седан,1.8 (бензин),500 000 км,механика,слева,бронза металлик,задний привод,Да,970 000 ₸,977 000,,33344ty9*28****w2,,
Hyundai,Elantra, 2013,Кентау,седан,1.6 (бензин),207 500 км,автомат,слева,черный,передний привод,Да,4 950 000 ₸,5 085 000,,,,
Toyota,Land Cruiser Prado, 2011,Алматы,внедорожник,2.7 (бензин),118 000 км,типтроник,слева,серый металлик,полный привод,Да,12 200 000 ₸,12 518 000,,,,
ВАЗ (Lada),LADA Priora, 2013,Нур-Султан (Астана),седан,1.6 (бензин),147 км,механика,слева,белый металлик,передний привод,Нет,1 650 000 ₸,2 001 000,,,,
Toyota,FJ Cruiser, 2006,Байконыр,внедорожник,4 (газ-бензин),150 000 км,автомат,слева,серебристый,полный привод,Да,9 000 000 ₸,10 588 000,,,,
Mercedes-Benz,C 230, 2005,Караганда,седан,1.8 (бензин),50 000 км,автомат,слева,черный металлик,задний привод,Да,3 500 000 ₸,3 533 000,,,,
ВАЗ (Lada),Vesta, 2019,Усть-Каменогорск,седан,1.6 (бензин),27 000 км,механика,слева,белый металлик,передний привод,Да,5 500 000 ₸,4 752 000,,,,
Toyota,Avalon, 2007,Усть-Каменогорск,седан,3.5 (бензин),,типтроник,слева,,передний привод,Да,5 400 000 ₸,5 480 000,,,,
Mercedes-Benz,CLA 200, 2013,Атырау,седан,2 (бензин),80 000 км,робот,слева,белый,передний привод,Да,8 000 000 ₸,9 350 000,,,,
Chevrolet,Niva, 2015,Семей,кроссовер,1.7 (бензин),,механика,слева,серебристый,полный привод,Да,3 300 000 ₸,3 357 000,,,,
Audi,A7, 2014,Алматы,седан,3 (бензин),72 000 км,типтроник,слева,белый,полный привод,Да,15 000 000 ₸,15 000 000,,,,
Audi,100, 1991,Костанай,седан,2.8 (бензин),240 000 км,механика,слева,синий металлик,передний привод,Да,1 400 000 ₸,1 530 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Костанай,хэтчбек,1.5 (бензин),251 000 км,механика,слева,серый металлик,передний привод,Нет,650 000 ₸,958 000,,,,
ВАЗ (Lada),2190 (седан), 2020,Тараз,седан,1.6 (бензин),2 000 км,автомат,слева,серый металлик,передний привод,Да,4 500 000 ₸,3 781 000,,,,
Mercedes-Benz,S 500, 2013,Алматы,седан,4.7 (бензин),76 000 км,автомат,слева,черный металлик,полный привод,Да,20 750 000 ₸,24 702 000,,,,
Toyota,Mark II, 1995,Алматы,седан,2.5 (бензин),,автомат,справа,зеленый,задний привод,Да,1 700 000 ₸,2 031 000,,,,
BMW,X5, 2011,Нур-Султан (Астана),кроссовер,3 (бензин),,автомат,слева,,,Да,11 000 000 ₸,10 971 000,,,,
Mazda,CX-9, 2008,Актобе,внедорожник,3.7 (газ-бензин),130 000 км,типтроник,слева,черный,,Да,4 700 000 ₸,4 750 000,,,,
Toyota,Land Cruiser, 2016,Нур-Султан (Астана),внедорожник,4.6 (бензин),160 000 км,автомат,слева,черный металлик,полный привод,Да,25 800 000 ₸,27 714 000,,,,
Skoda,Rapid, 2014,Алматы,лифтбек,1.6 (бензин),185 000 км,механика,слева,белый,передний привод,Да,3 600 000 ₸,3 987 000,,,,
Toyota,Camry, 2011,Костанай,седан,2.5 (газ-бензин),,автомат,слева,серебристый металлик,передний привод,Нет,4 500 000 ₸,6 567 000,,,,
Toyota,RAV 4, 2020,Павлодар,кроссовер,2.5 (бензин),3 500 км,автомат,слева,белый металлик,полный привод,Да,19 000 000 ₸,16 723 000,,XW7D13FV*0S****93,,
Mitsubishi,Pajero, 2006,Усть-Каменогорск,внедорожник,3.5 (бензин),100 000 км,типтроник,слева,черный,полный привод,Да,5 000 000 ₸,5 444 000,,,,
Toyota,Nadia, 1999,Алматы,минивэн,2 (бензин),,автомат,справа,белый,полный привод,Да,3 000 000 ₸,2 763 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2008,Актобе,хэтчбек,1.6 (бензин),,механика,слева,,передний привод,Нет,950 000 ₸,1 034 000,,,,
Toyota,Land Cruiser Prado, 2005,Алматы,внедорожник,3 (дизель),,автомат,слева,серый металлик,полный привод,Да,8 300 000 ₸,9 125 000,На заказ,,,
Toyota,Avensis, 2010,Алматы,седан,1.8 (бензин),124 000 км,механика,слева,серебристый,передний привод,Да,5 100 000 ₸,5 411 000,,,,
Hyundai,Tucson, 2014,Алматы,кроссовер,2 (бензин),90 000 км,типтроник,слева,серебристый металлик,передний привод,Да,7 100 000 ₸,7 156 000,,,,
Hummer,H2, 2005,Нур-Султан (Астана),внедорожник,6 (бензин),32 000 км,автомат,слева,черный,полный привод,Да,13 300 000 ₸,8 729 000,,,,
Toyota,Corolla, 2019,Нур-Султан (Астана),хэтчбек,2 (бензин),36 500 км,вариатор,слева,серебристый металлик,передний привод,Да,8 999 999 ₸,9 588 000,,,,
BMW,320, 2003,Алматы,седан,2 (бензин),270 000 км,типтроник,слева,белый,задний привод,Да,3 500 000 ₸,3 500 000,,,,
ВАЗ (Lada),XRAY, 2017,Актау,хэтчбек,1.6 (газ-бензин),64 000 км,механика,слева,белый металлик,передний привод,Да,3 500 000 ₸,4 084 000,,,,
Volkswagen,Polo, 2015,Шымкент,седан,1.6 (бензин),169 000 км,механика,слева,белый металлик,передний привод,Да,4 200 000 ₸,4 255 000,,,,
Kia,Rio, 2014,Алматы,седан,1.6 (бензин),98 000 км,автомат,слева,белый металлик,передний привод,Да,5 000 000 ₸,4 378 000,,,,
Toyota,Highlander, 2011,Атырау,кроссовер,3.5 (газ-бензин),165 000 км,автомат,слева,черный,полный привод,Нет,7 999 000 ₸,11 154 000,,,,
Toyota,Land Cruiser Prado, 2012,Атырау,внедорожник,2.7 (бензин),197 000 км,автомат,слева,белый металлик,полный привод,Да,14 200 000 ₸,13 266 000,,JTEBX9FJ*C5****90,,
Audi,A6, 2006,Костанай,седан,3.2 (бензин),215 000 км,автомат,слева,серый,полный привод,Нет,3 100 000 ₸,3 787 000,,,,
Chevrolet,K30, 1986,Алматы,внедорожник,3.8 (дизель),15 933 км,автомат,слева,,полный привод,Да,5 700 000 ₸,,,,,
Volkswagen,Jetta, 1986,Костанай,седан,1.4 (бензин),286 000 км,механика,слева,белый,передний привод,Да,400 000 ₸,,,,,
Mercedes-Benz,C 180, 1994,Алматы,седан,1.8 (бензин),438 203 км,механика,слева,белый металлик,задний привод,Да,1 600 000 ₸,1 472 000,,wdb20201*1a****30,,
Mercedes-Benz,G 55 AMG, 2008,Алматы,внедорожник,5.5 (бензин),108 000 км,автомат,слева,белый,,Да,17 900 000 ₸,17 467 000,,,,
Hyundai,Starex, 2002,Алматы,микроавтобус,2.5 (дизель),,механика,слева,белый,,Да,2 700 000 ₸,2 348 000,,,,
Kia,Sportage, 2013,Караганда,кроссовер,2 (бензин),87 335 км,типтроник,слева,черный металлик,полный привод,Да,7 200 000 ₸,6 758 000,,,,
Mercedes-Benz,S 550, 2007,Алматы,седан,5.5 (бензин),160 000 км,автомат,слева,черный металлик,полный привод,Да,6 200 000 ₸,6 525 000,,,,
Nissan,Elgrand, 2006,Казалинск,минивэн,2.5 (бензин),,автомат,справа,черный металлик,полный привод,Нет,2 500 000 ₸,3 500 000,,,,
ВАЗ (Lada),2172 (хэтчбек), 2012,Нур-Султан (Астана),хэтчбек,1.6 (бензин),,механика,слева,,,Да,1 800 000 ₸,1 806 000,,,,
Hyundai,i30, 2014,Усть-Каменогорск,лифтбек,1.6 (бензин),52 000 км,автомат,слева,белый металлик,передний привод,Да,5 600 000 ₸,5 567 000,,,,
Mercedes-Benz,E 43 AMG, 2016,Нур-Султан (Астана),седан,3 (бензин),26 000 км,типтроник,слева,серый металлик,полный привод,Да,25 500 000 ₸,25 500 000,,,,
Daewoo,Matiz, 2007,Бейнеу,седан,8 (бензин),150 км,механика,слева,синий,передний привод,Да,850 000 ₸,1 243 000,,,,
Kia,Sportage, 2005,Актау,кроссовер,2.7 (газ-бензин),235 000 км,автомат,слева,золотистый металлик,полный привод,Да,4 150 000 ₸,3 770 000,,,,
Audi,80, 1991,Нур-Султан (Астана),седан,2.3 (бензин),777 км,механика,слева,зеленый,передний привод,Да,700 000 ₸,922 000,,,,
Subaru,Legacy, 2004,Алматы,седан,2 (бензин),,механика,слева,серебристый металлик,полный привод,Да,3 000 000 ₸,3 971 000,,,,
Toyota,Yaris, 2008,Карабалык (Карабалыкский р-н),хэтчбек,1 (бензин),113 000 км,механика,слева,серебристый,передний привод,Да,3 500 000 ₸,3 404 000,,,,
Mercedes-Benz,E 320, 2004,Усть-Каменогорск,седан,3.2 (бензин),150 000 км,автомат,слева,серебристый,полный привод,Да,4 100 000 ₸,4 053 000,,,,
Infiniti,FX35, 2004,Тараз,кроссовер,3.5 (бензин),,автомат,слева,серебристый металлик,,Да,4 700 000 ₸,4 600 000,,,,
Nissan,Qashqai, 2011,Петропавловск,кроссовер,2 (бензин),110 000 км,вариатор,слева,фиолетовый металлик,полный привод,Да,5 200 000 ₸,5 513 000,,,,
ВАЗ (Lada),2112 (хэтчбек), 2006,Уральск,хэтчбек,1.6 (бензин),,механика,слева,,передний привод,Нет,680 000 ₸,984 000,,,,
Toyota,Land Cruiser Prado, 2008,Алматы,внедорожник,4 (газ-бензин),290 000 км,автомат,слева,черный металлик,полный привод,Да,12 500 000 ₸,10 099 000,,,,
Mitsubishi,Grandis, 2009,Нур-Султан (Астана),минивэн,2.4 (газ-бензин),288 000 км,механика,слева,серый металлик,передний привод,Да,4 800 000 ₸,4 950 000,,JMBLNNA4*97****09,,
Chevrolet,Cruze, 2014,Актау,седан,1.8 (газ-бензин),74 074 км,автомат,слева,белый металлик,передний привод,Да,4 150 000 ₸,4 133 000,,,,
Toyota,Corolla, 2007,Нур-Султан (Астана),седан,1.6 (бензин),190 км,робот,слева,серебристый металлик,передний привод,Да,3 850 000 ₸,4 017 000,,,,
BMW,X5, 2002,Караганда,кроссовер,4.6 (бензин),258 000 км,автомат,слева,серебристый металлик,полный привод,Да,4 250 000 ₸,4 418 000,,55555555*56****66,,
Hyundai,Tucson, 2019,Нур-Султан (Астана),кроссовер,2 (бензин),31 000 км,автомат,слева,белый,передний привод,Да,10 500 000 ₸,10 951 000,,,,
ГАЗ,ГАЗель, 2008,Актобе,фургон,2.4 (газ-бензин),180 000 км,механика,слева,белый металлик,задний привод,Нет,2 850 000 ₸,3 819 000,,,,
Chevrolet,Aveo, 2016,Курык,седан,1.6 (бензин),130 км,автомат,слева,серебристый металлик,полный привод,Да,3 500 000 ₸,3 500 000,,XWWTA69E*FU****29,,
Hyundai,Sonata, 1998,Щучинск,седан,1.8 (бензин),,механика,слева,зеленый металлик,передний привод,Да,1 500 000 ₸,921 000,,,,
Land Rover,Range Rover Sport, 2016,Алматы,внедорожник,3 (бензин),,автомат,слева,белый,полный привод,Да,26 000 000 ₸,25 500 000,,,,
ВАЗ (Lada),2110 (седан), 2007,Кульсары,седан,1.5 (бензин),278 000 км,механика,слева,серый,передний привод,Да,1 000 000 ₸,992 000,,,,
Toyota,Previa, 2003,Кордай,минивэн,2.4 (бензин),270 000 км,автомат,слева,вишня металлик,передний привод,Да,5 500 000 ₸,5 067 000,,,,
Hyundai,Tucson, 2018,Алматы,кроссовер,2 (бензин),40 000 км,автомат,слева,черный,передний привод,Да,9 900 000 ₸,10 011 000,,,,
Nissan,GT-R, 2014,Шымкент,седан,3.8 (бензин),22 000 км,робот,слева,белый металлик,,Да,27 000 000 ₸,27 667 000,,,,
Foton,Saga, 2005,Алматы,фургон,2.2 (дизель),230 000 км,механика,слева,белый,,Да,1 000 000 ₸,1 000 000,,,,
ВАЗ (Lada),2107, 2007,Уральск,седан,1.6 (бензин),60 000 км,механика,слева,белый,задний привод,Да,1 250 000 ₸,750 000,,,,
Lexus,LX 470, 2005,Нур-Султан (Астана),внедорожник,4.7 (газ-бензин),250 000 км,автомат,слева,черный,полный привод,Да,10 500 000 ₸,9 040 000,,,,
Honda,CR-V, 1997,Караганда,кроссовер,2 (бензин),300 000 км,автомат,справа,серебристый металлик,полный привод,Нет,1 950 000 ₸,2 932 000,,,,
Infiniti,FX45, 2003,Нур-Султан (Астана),кроссовер,4.5 (бензин),321 868 км,автомат,слева,серый металлик,полный привод,Нет,3 500 000 ₸,4 233 000,,,,
Honda,Shuttle, 1998,Нур-Султан (Астана),минивэн,2.2 (бензин),,автомат,слева,серебристый металлик,передний привод,Да,2 700 000 ₸,3 013 000,,,,
Mercedes-Benz,G 55 AMG, 2007,Алматы,внедорожник,5.5 (бензин),,автомат,слева,черный,полный привод,Да,16 800 000 ₸,17 082 000,,,,
Honda,CR-V, 2002,Алматы,кроссовер,2.4 (бензин),368 461 км,автомат,слева,белый,полный привод,Да,4 200 000 ₸,4 221 000,,,,
ВАЗ (Lada),2107, 1997,Щучинск,седан,1.5 (бензин),,механика,слева,красный,задний привод,Да,400 000 ₸,480 000,,,,
Mercedes-Benz,GL 450, 2007,Алматы,внедорожник,4.5 (бензин),,автомат,слева,серебристый,полный привод,Да,5 600 000 ₸,6 074 000,,,,
ВАЗ (Lada),2107, 2005,Актобе,седан,1.4 (бензин),1 785 км,механика,слева,белый,передний привод,Нет,650 000 ₸,608 000,,,,
Land Rover,Freelander, 2007,Алматы,кроссовер,2.2 (дизель),250 000 км,автомат,слева,синий металлик,полный привод,Да,5 200 000 ₸,4 525 000,,,,
Nissan,Patrol, 2007,Алматы,внедорожник,3 (дизель),159 000 км,механика,слева,,,Да,7 000 000 ₸,7 280 000,,,,
Daewoo,Nexia, 2008,Актау,седан,1.5 (газ-бензин),167 000 км,механика,слева,золотистый,передний привод,Нет,1 200 000 ₸,1 331 000,,,,
Nissan,Primera, 1994,Турара Рыскулова,хэтчбек,1.6 (бензин),,механика,слева,бордовый,передний привод,Да,470 000 ₸,,,,Да,
Mitsubishi,Pajero, 2007,Нур-Султан (Астана),внедорожник,3 (бензин),225 150 км,автомат,слева,черный металлик,полный привод,Да,7 500 000 ₸,7 085 000,,,,
Kia,K5, 2012,Шымкент,седан,2 (газ),200 000 км,типтроник,слева,белый металлик,передний привод,Да,5 500 000 ₸,5 650 000,,knagn418*da****77,,
Mercedes-Benz,GL 450, 2007,Петропавловск,внедорожник,4.7 (бензин),250 000 км,автомат,слева,белый металлик,полный привод,Да,6 200 000 ₸,6 074 000,,,,
Mercedes-Benz,S 500, 2007,Петропавловск,седан,5.5 (бензин),777 777 км,автомат,слева,черный металлик,задний привод,Да,6 200 000 ₸,6 315 000,,,,
Toyota,Land Cruiser Prado, 1995,Петропавловск,внедорожник,3 (дизель),,автомат,справа,черный,полный привод,Да,5 300 000 ₸,4 596 000,,,,
Kia,Sportage, 2013,Тараз,кроссовер,2 (газ-бензин),169 664 км,автомат,слева,белый,передний привод,Да,6 800 000 ₸,6 758 000,,U5YPC811*DL****31,,
Toyota,Carina E, 1992,Алматы,хэтчбек,1.6 (бензин),,механика,слева,зеленый металлик,передний привод,Да,2 000 000 ₸,1 634 000,,,,
Mercedes-Benz,S 500, 2007,Алматы,седан,5.5 (бензин),140 000 км,типтроник,слева,белый металлик,задний привод,Да,9 300 000 ₸,6 315 000,,WDDNG71X*7A****94,,
Ford,Expedition, 1997,Жанаозен,внедорожник,5.4 (газ-бензин),,автомат,слева,красный металлик,,Да,1 800 000 ₸,2 425 000,,,,
Lexus,LX 570, 2012,Усть-Каменогорск,внедорожник,5.7 (газ-бензин),175 000 км,автомат,слева,черный металлик,полный привод,Да,23 200 000 ₸,21 642 000,,,,
Daewoo,Tacuma, 2004,Актобе,микровэн,1.6 (газ-бензин),,механика,слева,голубой,передний привод,Да,1 650 000 ₸,1 650 000,,,,
Hyundai,Accent, 2014,Нур-Султан (Астана),хэтчбек,1.6 (бензин),146 929 км,автомат,слева,синий металлик,передний привод,Да,4 350 000 ₸,4 350 000,,Z94CT51D*DR****33,,
Mercedes-Benz,E 320, 1998,Алматы,седан,3.2 (бензин),,автомат,слева,серебристый,задний привод,Да,4 200 000 ₸,3 209 000,,,,
Toyota,Land Cruiser Prado, 2007,Алматы,внедорожник,2.7 (бензин),183 000 км,автомат,слева,серебристый металлик,полный привод,Да,9 100 000 ₸,9 262 000,,,,
Toyota,Camry, 2012,Уральск,седан,2.5 (бензин),170 000 км,автомат,слева,черный металлик,передний привод,Нет,6 000 000 ₸,8 000 000,,,,
Toyota,Camry, 2019,Караганда,седан,2.5 (бензин),13 300 км,автомат,слева,черный,передний привод,Да,14 300 000 ₸,13 687 000,,XW7BF3HK*0S****27,,
Chevrolet,Cruze, 2011,Нур-Султан (Астана),седан,1.8 (бензин),278 000 км,автомат,слева,голубой металлик,,Нет,2 900 000 ₸,3 352 000,,,,
Toyota,Vellfire, 2009,Нур-Султан (Астана),минивэн,3.5 (бензин),140 000 км,автомат,слева,белый металлик,передний привод,Нет,10 000 000 ₸,6 000 000,,GGH20-80*55****00,,
ВАЗ (Lada),2172 (хэтчбек), 2009,Атырау,хэтчбек,1.6 (бензин),221 000 км,механика,слева,белый,передний привод,Да,1 350 000 ₸,1 353 000,,,,
Toyota,Town Ace Noah, 1997,Алматы,микровэн,2.2 (дизель),,автомат,справа,серебристый металлик,полный привод,Да,1 800 000 ₸,2 550 000,,,,
Mazda,626, 1992,Тараз,хэтчбек,2 (бензин),,механика,слева,красный металлик,передний привод,Да,750 000 ₸,801 000,,,,
ВАЗ (Lada),2170 (седан), 2018,Усть-Каменогорск,седан,1.6 (бензин),61 000 км,механика,слева,белый,передний привод,Нет,2 480 000 ₸,3 100 000,,,,
Mercedes-Benz,GL 550, 2009,Караганда,внедорожник,5.5 (бензин),,типтроник,слева,белый,полный привод,Да,9 800 000 ₸,9 800 000,,,,
Nissan,X-Trail, 2017,Алматы,кроссовер,2.5 (бензин),84 000 км,вариатор,слева,белый,полный привод,Да,10 600 000 ₸,9 998 000,,,,
УАЗ,3151, 1992,Карасу,пикап,2.445 (бензин),118 000 км,механика,слева,зеленый,полный привод,Да,500 000 ₸,500 000,,,,
Volkswagen,Touareg, 2007,Шымкент,внедорожник,3.6 (бензин),,типтроник,слева,серебристый металлик,полный привод,Да,5 500 000 ₸,5 455 000,,,,
Lexus,RX 300, 1998,Нур-Султан (Астана),кроссовер,3 (бензин),777 777 км,автомат,слева,черный,полный привод,Да,4 600 000 ₸,3 854 000,,,,
Ford,Transit, 2006,Алматы,купе,2.4 (дизель),312 км,механика,слева,серебристый металлик,задний привод,Да,4 200 000 ₸,3 898 000,,,,
ВАЗ (Lada),2171 (универсал), 2012,Усть-Каменогорск,универсал,1.6 (бензин),,механика,слева,черный металлик,,Да,1 900 000 ₸,1 859 000,,,,
Volkswagen,Passat, 1993,Нур-Султан (Астана),универсал,2 (бензин),3 000 км,механика,слева,вишня,передний привод,Да,1 170 000 ₸,1 242 000,,,,
Subaru,Forester, 2003,Алматы,кроссовер,2.5 (бензин),,автомат,слева,серый,полный привод,Да,3 450 000 ₸,3 693 000,,,,
Lexus,LX 470, 2005,Акколь (Аккольский р-н),внедорожник,4.7 (газ-бензин),290 000 км,автомат,слева,зеленый металлик,полный привод,Да,9 700 000 ₸,9 040 000,,,,
BMW,X5, 2011,Костанай,кроссовер,3 (бензин),186 000 км,автомат,слева,серый,,Да,11 000 000 ₸,10 971 000,,,,
Nissan,Qashqai, 2010,Усть-Каменогорск,кроссовер,2 (бензин),101 000 км,вариатор,слева,черный,полный привод,Да,5 500 000 ₸,5 191 000,,,,
Nissan,Qashqai, 2010,Усть-Каменогорск,кроссовер,2 (бензин),101 000 км,вариатор,слева,черный,полный привод,Да,5 500 000 ₸,5 191 000,,,,
Mercedes-Benz,E 200, 2018,Алматы,седан,2 (бензин),48 000 км,автомат,слева,черный,задний привод,Да,17 000 000 ₸,17 457 000,,,,
Toyota,Mark II, 2001,Алматы,седан,2 (бензин),280 000 км,автомат,справа,серебристый,задний привод,Нет,1 999 999 ₸,3 550 000,,,,
Toyota,RAV 4, 2012,Актобе,кроссовер,2 (бензин),86 000 км,автомат,слева,белый металлик,полный привод,Да,9 000 000 ₸,8 189 000,,,,
Toyota,Camry, 2010,Павлодар,седан,3.5 (бензин),186 000 км,автомат,слева,черный,,Нет,5 200 000 ₸,6 356 000,,,,
BMW,X5, 2016,Нур-Султан (Астана),внедорожник,3 (бензин),67 000 км,автомат,слева,черный металлик,полный привод,Да,17 900 000 ₸,18 700 000,,,,
Toyota,Crown, 2008,Нур-Султан (Астана),седан,3.5 (бензин),49 000 км,автомат,справа,черный,задний привод,Да,7 700 000 ₸,8 350 000,,,,
Lexus,RX 330, 2005,Актобе,кроссовер,3.3 (газ-бензин),183 000 км,автомат,слева,,полный привод,Да,6 000 000 ₸,6 762 000,,,,
Toyota,Camry, 2004,Шымкент,седан,3 (бензин),220 000 км,автомат,слева,черный металлик,передний привод,Да,5 700 000 ₸,4 247 000,,,,
Mercedes-Benz,E 320, 2002,Алматы,седан,3.2 (бензин),190 000 км,автомат,слева,черный металлик,задний привод,Да,4 800 000 ₸,3 953 000,,,,
Kia,Sorento, 2014,Нур-Султан (Астана),кроссовер,2.4 (бензин),88 000 км,автомат,слева,серый,полный привод,Да,8 800 000 ₸,8 424 000,,,,
ВАЗ (Lada),2110 (седан), 2007,Актобе,седан,1.6 (газ-бензин),200 000 км,механика,слева,зеленый металлик,,Да,1 600 000 ₸,992 000,,,,
Mercedes-Benz,E 320, 1994,Алматы,седан,3.2 (газ-бензин),,механика,слева,серебристый,задний привод,Да,2 500 000 ₸,2 383 000,,,,
ВАЗ (Lada),2113 (хэтчбек), 2011,Темиртау,хэтчбек,1.6 (бензин),111 км,механика,слева,зеленый,передний привод,Нет,860 000 ₸,1 150 000,,,,
Lexus,RX 400h, 2008,Алматы,кроссовер,3.3 (гибрид),162 000 км,вариатор,слева,черный металлик,полный привод,Да,5 650 000 ₸,6 725 000,,,,
Toyota,Vista, 1995,Алматы,седан,2 (бензин),35 000 км,автомат,справа,белый,передний привод,Да,1 300 000 ₸,1 582 000,,,,
Mercedes-Benz,S 350, 2004,Алматы,седан,3.7 (бензин),224 000 км,автомат,слева,черный металлик,задний привод,Да,4 650 000 ₸,3 786 000,,Wdb22006*1a****49,,
ВАЗ (Lada),2172 (хэтчбек), 2011,Атырау,хэтчбек,1.6 (бензин),160 км,механика,слева,зеленый,передний привод,Нет,1 600 000 ₸,1 563 000,,,,
Lifan,X60, 2014,Кокшетау,кроссовер,1.8 (газ-бензин),155 000 км,механика,слева,белый,передний привод,Да,2 950 000 ₸,2 851 000,,,,
Toyota,Alphard, 2007,Нур-Султан (Астана),минивэн,3 (бензин),145 029 км,автомат,справа,,полный привод,Нет,3 990 000 ₸,3 200 000,,,,
BMW,X5, 2007,Алматы,кроссовер,4.8 (бензин),,типтроник,слева,серебристый,полный привод,Да,5 700 000 ₸,7 020 000,,,,
Ford,Focus, 2017,Алматы,хэтчбек,1.6 (бензин),51 500 км,автомат,слева,белый,передний привод,Да,6 500 000 ₸,7 267 000,,,,
Toyota,Land Cruiser Prado, 2020,Атырау,внедорожник,2.7 (бензин),,автомат,слева,черный,полный привод,Да,25 500 000 ₸,25 150 000,,,,
BMW,525, 1992,Караганда,седан,2.5 (бензин),1 111 111 км,механика,слева,бордовый металлик,задний привод,Да,1 700 000 ₸,1 447 000,,,,
BMW,525, 2005,Алматы,седан,3 (бензин),60 000 км,автомат,слева,черный,полный привод,Да,5 500 000 ₸,4 428 000,,,,
Mazda,MPV, 2002,Алматы,минивэн,3 (бензин),,автомат,слева,серебристый,передний привод,Да,3 500 000 ₸,3 100 000,,,,
ВАЗ (Lada),2170 (седан), 2012,Уральск,седан,1.6 (бензин),280 000 км,механика,слева,белый,передний привод,Да,1 150 000 ₸,1 882 000,,XTA21703*C0****67,,
Audi,A4, 2001,Щучинск,седан,1.8 (бензин),298 000 км,механика,слева,серебристый,полный привод,Да,2 150 000 ₸,3 218 000,,,,
Lexus,NX 200, 2015,Алматы,кроссовер,2 (бензин),41 000 км,типтроник,слева,синий металлик,полный привод,Да,16 000 000 ₸,14 461 000,,,,
Saab,9000, 1996,Актау,хэтчбек,2.3 (газ-бензин),,механика,слева,,передний привод,Да,1 200 000 ₸,1 200 000,,,,
Opel,Vectra, 1998,Уральск,универсал,2.5 (бензин),400 000 км,механика,слева,серебристый,,Нет,590 000 ₸,1 227 000,,,,
Infiniti,QX56, 2004,Алматы,внедорожник,5.6 (бензин),230 000 км,автомат,слева,черный,полный привод,Да,5 900 000 ₸,4 771 000,,,,
Fiat,Stilo, 2001,Алматы,купе,2.4 (бензин),125 000 км,типтроник,слева,фиолетовый,передний привод,Да,2 000 000 ₸,1 375 000,,,,
