Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Toyota,Land Cruiser, 2007,Алматы,внедорожник,4.5 (газ-бензин),290 000 км,механика,слева,серый,полный привод,Да,8 500 000 ₸,10 916 000,,,,
Toyota,Camry, 2018,Нур-Султан (Астана),седан,2.5 (бензин),38 000 км,автомат,слева,белый,передний привод,Да,12 700 000 ₸,12 966 000,,,,
Mercedes-Benz,C 320, 1998,Шымкент,седан,3.2 (газ-бензин),185 000 км,автомат,слева,серебристый металлик,задний привод,Да,3 500 000 ₸,3 250 000,,,,
Volkswagen,Transporter, 2012,Актобе,фургон,2.5 (дизель),151 652 км,механика,слева,белый,передний привод,Да,6 700 000 ₸,6 600 000,,,,
Mercedes-Benz,E 280, 1994,Алматы,седан,3.2 (бензин),260 км,механика,слева,белый металлик,задний привод,Да,2 900 000 ₸,2 319 000,,,,
Toyota,Land Cruiser, 2012,Аксай,внедорожник,4.6 (бензин),,автомат,слева,серебристый металлик,полный привод,Да,18 700 000 ₸,18 414 000,,,,
Lexus,RX 350, 2015,Семей,кроссовер,3.5 (бензин),86 000 км,автомат,слева,коричневый металлик,полный привод,Да,14 800 000 ₸,14 825 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2008,Актобе,хэтчбек,1.6 (газ-бензин),210 000 км,механика,слева,черный,,Нет,900 000 ₸,1 034 000,,,,
ВАЗ (Lada),2115 (седан), 2005,Уральск,седан,1.5 (бензин),,механика,слева,черный,передний привод,Нет,680 000 ₸,910 000,,,,
Toyota,Corolla, 2011,Алматы,седан,1.4 (бензин),158 000 км,механика,слева,серебристый металлик,передний привод,Да,4 800 000 ₸,5 470 000,,,,
Mitsubishi,Pajero, 2007,Тараз,внедорожник,3 (газ-бензин),267 000 км,автомат,слева,черный металлик,полный привод,Да,7 000 000 ₸,7 085 000,,,,
Toyota,Hilux, 2013,Алматы,пикап,2.7 (бензин),120 000 км,механика,слева,серебристый,полный привод,Да,11 500 000 ₸,8 344 000,,,,
Mazda,323, 2003,Шымкент,универсал,1.6 (бензин),,механика,слева,серебристый металлик,передний привод,Да,2 100 000 ₸,2 113 000,,,,
Lincoln,Navigator, 2007,Актобе,внедорожник,5.4 (газ-бензин),170 000 км,автомат,слева,черный,полный привод,Да,8 500 000 ₸,6 198 000,,,,
ВАЗ (Lada),2107, 1990,Шымкент,седан,1.5 (бензин),,механика,слева,вишня,передний привод,Да,300 000 ₸,350 000,,,,
Toyota,Corolla, 2016,Алматы,седан,1.6 (бензин),82 000 км,автомат,слева,белый металлик,передний привод,Да,7 800 000 ₸,7 263 000,,,,
Volkswagen,Touareg, 2019,Алматы,кроссовер,3 (бензин),3 500 км,автомат,слева,серый,полный привод,Да,34 900 000 ₸,34 900 000,На заказ,,,
Subaru,Outback, 2007,Алматы,универсал,2.5 (бензин),195 202 км,автомат,слева,бежевый металлик,полный привод,Да,4 190 000 ₸,5 070 000,,,,
BMW,X5, 2009,Уральск,кроссовер,3 (бензин),202 888 км,типтроник,слева,черный металлик,полный привод,Да,7 490 000 ₸,8 420 000,,5UXFE4C5*AL****98,,
Toyota,Highlander, 2011,Алматы,внедорожник,3.5 (бензин),124 км,типтроник,слева,бежевый,полный привод,Да,11 500 000 ₸,11 154 000,,,,
Chevrolet,Aveo, 2014,Нур-Султан (Астана),седан,1.6 (бензин),280 000 км,механика,слева,серебристый,передний привод,Да,2 550 000 ₸,3 255 000,,,,
Nissan,Armada, 2008,Алматы,внедорожник,5.6 (газ-бензин),230 000 км,автомат,слева,белый,полный привод,Да,7 500 000 ₸,7 250 000,,,,
